arrangement,learning_stage,condition,block,pa_index,pa_type,distance_category,row,column
3,new_pa,schema_c,1,4,schema_pa,near,4,6
3,new_pa,schema_c,1,5,schema_pa,,2,10
3,new_pa,schema_c,1,6,schema_pa,,10,11
3,schema_pa,random_loc,1,1,schema_pa,,4,11
3,schema_pa,random_loc,1,2,schema_pa,,11,8
3,schema_pa,random_loc,1,3,schema_pa,,2,5
3,schema_pa,random_loc,1,4,schema_pa,,8,11
3,schema_pa,random_loc,1,5,schema_pa,,11,2
3,schema_pa,random_loc,1,6,schema_pa,,5,2
3,schema_pa,random_loc,2,1,schema_pa,,3,2
3,schema_pa,random_loc,2,2,schema_pa,near,7,3
3,schema_pa,random_loc,2,3,schema_pa,,11,5
3,schema_pa,random_loc,2,4,schema_pa,near,4,6
3,schema_pa,random_loc,2,5,schema_pa,,2,10
3,schema_pa,random_loc,2,6,schema_pa,,10,11
3,new_pa,random_loc,1,1,new_pa,near,7,4
3,new_pa,random_loc,1,2,new_pa,near,5,6
3,new_pa,random_loc,1,3,new_pa,far,8,7
3,new_pa,random_loc,1,4,new_pa,far,6,9
3,new_pa,random_loc,1,5,new_pa,,10,3
3,new_pa,random_loc,1,6,new_pa,,2,8
3,new_pa,random_loc,1,1,schema_pa,,9,10
3,new_pa,random_loc,1,2,schema_pa,,4,10
3,new_pa,random_loc,1,3,schema_pa,,2,2
3,new_pa,random_loc,1,4,schema_pa,,10,7
3,new_pa,random_loc,1,5,schema_pa,,4,4
3,new_pa,random_loc,1,6,schema_pa,,8,2
3,schema_pa,schema_ic,1,1,schema_pa,,11,5
3,schema_pa,schema_ic,1,2,schema_pa,,2,10
3,schema_pa,schema_ic,1,3,schema_pa,near,4,6
3,schema_pa,schema_ic,1,4,schema_pa,,10,11
3,schema_pa,schema_ic,1,5,schema_pa,,3,2
3,schema_pa,schema_ic,1,6,schema_pa,near,7,3
3,schema_pa,schema_ic,2,1,schema_pa,,3,2
3,schema_pa,schema_ic,2,2,schema_pa,near,7,3
3,schema_pa,schema_ic,2,3,schema_pa,,11,5
3,schema_pa,schema_ic,2,4,schema_pa,near,4,6
3,schema_pa,schema_ic,2,5,schema_pa,,2,10
3,schema_pa,schema_ic,2,6,schema_pa,,10,11
3,new_pa,schema_ic,1,1,new_pa,near,7,4
3,new_pa,schema_ic,1,2,new_pa,near,5,6
3,new_pa,schema_ic,1,3,new_pa,far,8,7
3,new_pa,schema_ic,1,4,new_pa,far,6,9
3,new_pa,schema_ic,1,5,new_pa,,10,3
3,new_pa,schema_ic,1,6,new_pa,,2,8
3,new_pa,schema_ic,1,1,schema_pa,near,7,3
3,new_pa,schema_ic,1,2,schema_pa,,11,5
3,new_pa,schema_ic,1,3,schema_pa,,10,11
3,new_pa,schema_ic,1,4,schema_pa,,3,3
3,new_pa,schema_ic,1,5,schema_pa,near,4,6
3,new_pa,schema_ic,1,6,schema_pa,,2,10
6,schema_pa,practice,1,1,schema_pa,,6,2
6,schema_pa,practice,1,2,schema_pa,,10,5
6,schema_pa,practice,1,3,schema_pa,,7,6
6,schema_pa,practice,1,4,schema_pa,,2,7
6,schema_pa,practice,1,5,schema_pa,,11,9
6,schema_pa,practice,1,6,schema_pa,,3,11
